accession,taxid,superkingdom,phylum,class,order,family,subfamily,genus,species
KJ194585,1458714,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Seabiscuit
KJ206559,307898,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus phage 812
KJ206560,307898,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus phage 812
KJ206561,307898,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus phage 812
KJ206562,307898,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus phage 812
KJ206563,307898,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus phage 812
KJ210330,1453367,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Rosenblumvirus,Staphylococcus virus GRCS
KJ395778,1461743,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Vibrio phage PVA1
KJ409696,1468169,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Lamina13
KJ409772,1458843,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Otagovirus,Pseudomonas virus Psa374
KJ410132,1458726,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage 20ES
KJ410133,1458831,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Mycobacterium phage Jolie2
KJ410134,1458841,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage CRB1
KJ410740,1468179,Viruses,,,,,,,Synechococcus phage S-EIVl
KJ417497,1461246,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Spn1
KJ419279,1468411,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Nonagvirus,Escherichia virus 9g
KJ433973,1463809,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,,Mycobacterium phage 39HC
KJ433974,1463811,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,,Mycobacterium phage Hosp
KJ433975,1463810,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,,Mycobacterium phage 40BC
KJ433976,1463812,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,,Mycobacterium phage Jolie1
KJ451625,584892,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Caeruleovirus,Bacillus virus Bcp1
KJ452291,1505026,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Phietavirus,Staphylococcus phage 3MRA
KJ452292,1505027,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Biseptimavirus,Staphylococcus phage 23MRA
KJ473422,1481186,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Saclayvirus,Acinetobacter phage vB_AbaM_Acibel004
KJ473423,1481187,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Daemvirus,Acinetobacter virus Acibel007
KJ477077,1481224,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Casadabanvirus,Pseudomonas phage JD024
KJ477684,10665,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus,Escherichia virus T4
KJ477685,10665,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus,Escherichia virus T4
KJ477686,10665,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus,Escherichia virus T4
KJ489010,1476886,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage P078
KJ489011,1476887,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage P092
KJ489012,1476888,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage P118
KJ489013,1476889,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage P162
KJ489397,1486657,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Bastillevirus,Bacillus virus CAM003
KJ489398,1486658,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Bastillevirus,Bacillus virus Evoli
KJ489399,1486659,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus,Bacillus virus Hakuna
KJ489400,1486660,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Bastillevirus,Bacillus virus HoodyT
KJ489401,1486661,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus,Bacillus virus Megatron
KJ489402,1486662,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Bequatrovirus,Bacillus virus Riley
KJ502657,1480731,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Colwellvirinae,Gutovirus,Vibrio virus Vc1
KJ507099,1500756,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Ghunavirus,Pseudomonas virus PhiPSA2
KJ507100,1500757,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Pseudomonas phage phiPSA1
KJ510412,1486427,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage ZoeJ
KJ510413,1486424,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Bernalvirus,Mycobacterium virus Bernal13
KJ510414,1486425,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Kampy
KJ510415,1486426,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Phantastic
KJ528544,1486423,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Picovirinae,Negarvirus,Lactococcus virus WP2
KJ534580,1472912,Viruses,Uroviricota,Caudoviricetes,Caudovirales,,,,Nitrincola phage 1M3-16
KJ535721,1486422,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Jasinkavirinae,Pecentumvirus,Listeria virus List36
KJ535722,1486421,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Jasinkavirinae,Pecentumvirus,Listeria virus LMSP25
KJ538721,1471542,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Marvinvirus,Mycobacterium virus Mosmoris
KJ538722,1471543,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Gilesvirus,Mycobacterium virus Giles
KJ538723,1471544,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium virus Soto
KJ545483,1476902,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Vibrio phage phi 2
KJ564036,1500734,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cequinquevirus,Lactobacillus virus Ld25A
KJ564037,1500733,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cequinquevirus,Lactobacillus virus Ld17
KJ564038,1500735,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cequinquevirus,Lactobacillus virus Ld3
KJ567041,1486474,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Zapner
KJ567042,1486473,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage OkiRoe
KJ567043,1486472,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Gaiavirus,Mycobacterium virus Gaia
KJ567044,1486471,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium virus Suffolk
KJ567045,1486470,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Emerson
KJ567046,1486469,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Mycobacterium phage Damien
KJ572844,1500712,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Vibrio phage 24
KJ572845,1500713,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Vibrio phage X29
KJ578758,1500798,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL009M11
KJ578759,1500799,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL025M00
KJ578760,1500800,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium phage PHL030N00
KJ578761,1500801,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL041M10
KJ578762,1500802,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium phage PHL055N00
KJ578763,1500803,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium phage PHL064M01
KJ578764,1500804,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium phage PHL064M02
KJ578765,1500805,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL067M01
KJ578766,1500806,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium phage PHL067M09
KJ578767,1500807,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL070N00
KJ578768,1500808,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium phage PHL082M00
KJ578769,1500809,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium phage PHL082M02
KJ578770,1500810,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL082M03
KJ578771,1500811,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium phage PHL082M04
KJ578772,1500812,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium phage PHL085N00
KJ578773,1500813,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL092M00
KJ578774,1500814,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL095N00
KJ578775,1500815,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL114L00
KJ578776,1500816,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL116M00
KJ578777,1500817,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium phage PHL116M10
KJ578778,1500818,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL117M00
KJ578779,1500819,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL117M01
KJ578780,1500820,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL132N00
KJ578781,1500821,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL141N00
KJ578782,1500822,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium phage PHL150M00
KJ578783,1500823,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL151M00
KJ578784,1500824,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL151N00
KJ578785,1500825,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL152M00
KJ578786,1500826,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL163M00
KJ578787,1500827,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL171M01
KJ578788,1500828,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL179M00
KJ578789,1500829,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL194M00
KJ578790,1500830,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL199M00
KJ578791,1500831,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL301M00
KJ578792,1500832,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus PHL308M00
KJ586794,1486397,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Jasinkavirinae,Pecentumvirus,Listeria virus LMTA34
KJ586795,1486419,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Jasinkavirinae,Pecentumvirus,Listeria virus LMSP25
KJ591604,1486413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Jasinkavirinae,Pecentumvirus,Listeria virus LMTA148
KJ591605,1486414,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Jasinkavirinae,Pecentumvirus,Listeria virus LMSP25
KJ595575,1486404,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium virus Bxz1
KJ595576,1486403,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium virus Manad
KJ596420,1498220,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Biseptimavirus,Staphylococcus phage phiSa119
KJ603229,1498227,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Diegovirus,Shigella virus POCJ13
KJ608188,1486428,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Enterococcus phage EFC-1
KJ617393,1498213,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Picovirinae,Cepunavirus,Streptococcus virus Cp1
KJ621082,1477404,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Baltimorevirus,Dinoroseobacter virus DFL12
KJ628499,1605379,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Saclayvirus,Acinetobacter phage vB_AbaM_phiAbaA1
KJ668713,1495286,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Rogunavirinae,Rogunavirus,Escherichia virus E41c
KJ668714,1495285,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus,Escherichia virus E112
KJ676859,1498212,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Caeruleovirus,Bacillus virus JBP901
KJ690250,1498204,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Pinto
KJ716334,1498171,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Phietavirus,Staphylococcus phage SA97
KJ716335,1477406,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Aglimvirinae,Limestonevirus,Dickeya virus RC2014
KJ722067,1498188,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Pahexavirus,Propionibacterium virus Pacnes201215
KJ725374,1498190,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Liefievirus,Mycobacterium phage Guo1
KJ743987,1524882,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Sinorhizobium phage phiLM21
KJ746502,1498228,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Rhizobium phage vB_RleM_PPF1
KJ748011,1498170,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Kayfunavirus,Escherichia virus PE3-1
KJ749827,1498172,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Gajwadongvirus,Escherichia virus ECBP5
KJ801817,1498168,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Brockvirinae,Kochikohdavirus,Enterococcus virus ECP3
KJ802832,1113547,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Nonanavirus,Salmonella virus 9NA
KJ803031,1498169,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Baltimorevirus,Dinoroseobacter phage vBDshPR2C
KJ804259,1500386,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Sextaecvirus,Staphylococcus virus Sextaec
KJ817802,1505225,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Obolenskvirus,Acinetobacter virus AbC62
KJ829260,1505226,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Corndogvirus,Mycobacterium phage YungJamal
KJ832078,1524881,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Lederbergvirus,Enterobacteria phage Sf101
KJ847052,1536592,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Idiomarinaceae phage 1N2-2
KJ854379,1516115,Viruses,Preplasmiviricota,Maveriviricetes,Priklausovirales,Lavidaviridae,,,Qinghai Lake virophage
KJ858521,1505227,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Chaseviridae,,Pahsextavirus,Aeromonas virus pAh6C
KJ888149,1524910,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus virus MCE2014
KJ909655,1506453,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Escherichia Stx1-converting recombinant phage HUN/2013
KJ920400,1510440,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Bacillus phage Waukesha92
KJ936628,1524880,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Vibrio phage VPp1
KJ944841,1506716,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Cheetobro
KJ959632,1555201,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Equemioh13
KM044272,1519788,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Kuravirus,Escherichia virus SU10
KM051843,1527469,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Agatevirus,Bacillus virus Bobb
KM058087,1498011,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Cronobacter phage vB_CsaP_Ss1
KM066034,1527580,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Inventum
KM067278,1527525,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Krylovirinae,Phikmvvirus,Pseudomonas virus ABTNL
KM083128,1527493,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Mycobacterium phage Sparky
KM091442,1527693,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Skunavirus,Lactococcus phage phi15
KM091443,1527694,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Skunavirus,Lactococcus phage phi93
KM091444,1527692,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Skunavirus,Lactococcus phage phi145
KM092515,1527531,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Felixounavirus,Escherichia virus HY02
KM101117,1527533,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Rosebushvirus,Mycobacterium virus Rosebush
KM101118,1527534,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Swirley
KM101119,1527535,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Tiffany
KM101120,1527536,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Trike
KM101122,1527511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Hades
KM101123,1527513,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Omegavirus,Mycobacterium phage Minerva
KM101124,1527512,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Squirty
KM190144,1527519,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Vequintavirinae,Avunavirus,Escherichia virus Av05
KM197169,1527520,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Piro94
KM199770,1527770,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,,,Rhizobium phage vB_RleM_P10VF
KM199771,1527771,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Pairvirus,Mesorhizobium virus Lo5R7ANS
KM209228,1542131,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Aglimvirinae,Limestonevirus,Dickeya virus Limestone
KM215148,1527463,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Cerasum
KM216423,1526408,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus virus P108
KM224878,1529057,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Vibrio phage ICP2_2011_A
KM224879,1529058,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Vibrio phage ICP2_2013_A_Haiti
KM226324,1527515,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Idiomarinaceae phage Phi1M2-2
KM233151,1527514,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Dhillonvirus,Escherichia virus EK99P1
KM233261,1526550,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Sulfitobacter phage NYA-2014a
KM233454,1527516,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage MarQuardt
KM233455,1527517,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Farber
KM233689,1536596,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Casadabanvirus,Pseudomonas phage H70
KM236237,1527524,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,,Citrobacter phage Miller
KM236239,1540094,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Mooglevirus,Citrobacter virus Moogle
KM236240,1540095,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Moonvirus,Citrobacter virus Moon
